Cycle: 5  cd16  2 nM_X	Cycle: 5  cd16  2 nM_Y	Fitted Cycle: 5  cd16  2 nM_X	Fitted Cycle: 5  cd16  2 nM_Y	Cycle: 6  cd16  4 nM_X	Cycle: 6  cd16  4 nM_Y	Fitted Cycle: 6  cd16  4 nM_X	Fitted Cycle: 6  cd16  4 nM_Y	Cycle: 7  cd16  8 nM_X	Cycle: 7  cd16  8 nM_Y	Fitted Cycle: 7  cd16  8 nM_X	Fitted Cycle: 7  cd16  8 nM_Y	Cycle: 8  cd16  16 nM_X	Cycle: 8  cd16  16 nM_Y	Fitted Cycle: 8  cd16  16 nM_X	Fitted Cycle: 8  cd16  16 nM_Y	Cycle: 9  cd16  32 nM_X	Cycle: 9  cd16  32 nM_Y	Fitted Cycle: 9  cd16  32 nM_X	Fitted Cycle: 9  cd16  32 nM_Y	Cycle: 10  cd16  8 nM_X	Cycle: 10  cd16  8 nM_Y	Fitted Cycle: 10  cd16  8 nM_X	Fitted Cycle: 10  cd16  8 nM_Y
-57.56	2.64505e-3	-57.56	0	-57.66	0.0351969	-57.66	0	-57.56	0.0332237	-57.56	0	-57.56	0.056295	-57.56	0	-57.56	0.0185142	-57.56	0	-57.56	0.115011	-57.56	0
-57.46	0.0182699	-57.46	0	-57.56	0.0397546	-57.56	0	-57.46	0.0429891	-57.46	0	-57.46	0.0660604	-57.46	0	-57.46	0.0419515	-57.46	0	-57.46	0.124776	-57.46	0
-57.36	0.021525	-57.36	0	-57.46	0.0495199	-57.46	0	-57.36	0.0462442	-57.36	0	-57.36	0.0693155	-57.36	0	-57.36	0.0549722	-57.36	0	-57.36	0.131938	-57.36	0
-57.26	0.0221761	-57.26	0	-57.36	0.0527751	-57.36	0	-57.26	0.0429891	-57.26	0	-57.26	0.0699666	-57.26	0	-57.26	0.0614827	-57.26	0	-57.26	0.124776	-57.26	0
-57.16	0.0234782	-57.16	0	-57.26	0.0534261	-57.26	0	-57.16	0.0384318	-57.16	0	-57.16	0.0712687	-57.16	0	-57.16	0.0588786	-57.16	0	-57.16	0.120219	-57.16	0
-57.06	0.0247803	-57.06	0	-57.16	0.0449626	-57.16	0	-57.06	0.039734	-57.06	0	-57.06	0.0686646	-57.06	0	-57.06	0.0543214	-57.06	0	-57.06	0.131287	-57.06	0
-56.96	0.0182699	-56.96	0	-57.06	0.0462648	-57.06	0	-56.96	0.0429891	-56.96	0	-56.96	0.0562948	-56.96	0	-56.96	0.0478109	-56.96	0	-56.96	0.124776	-56.96	0
-56.86	0.0202229	-56.86	0	-56.96	0.0495199	-56.96	0	-56.86	0.0449421	-56.86	0	-56.86	0.0582478	-56.86	0	-56.86	0.0497639	-56.86	0	-56.86	0.126729	-56.86	0
-56.76	0.0189209	-56.76	0	-56.86	0.0514729	-56.86	0	-56.76	0.0436401	-56.76	0	-56.76	0.0569458	-56.76	0	-56.76	0.0484619	-56.76	0	-56.76	0.125427	-56.76	0
-56.66	0.0228271	-56.66	0	-56.76	0.0548706	-56.76	0	-56.66	0.0436401	-56.66	0	-56.66	0.0608521	-56.66	0	-56.66	0.0445557	-56.66	0	-56.66	0.125427	-56.66	0
