Cycle: 5  CD16  2 nM_X	Cycle: 5  CD16  2 nM_Y	Fitted Cycle: 5  CD16  2 nM_X	Fitted Cycle: 5  CD16  2 nM_Y	Cycle: 6  CD16  4 nM_X	Cycle: 6  CD16  4 nM_Y	Fitted Cycle: 6  CD16  4 nM_X	Fitted Cycle: 6  CD16  4 nM_Y	Cycle: 7  CD16  8 nM_X	Cycle: 7  CD16  8 nM_Y	Fitted Cycle: 7  CD16  8 nM_X	Fitted Cycle: 7  CD16  8 nM_Y	Cycle: 8  CD16  16 nM_X	Cycle: 8  CD16  16 nM_Y	Fitted Cycle: 8  CD16  16 nM_X	Fitted Cycle: 8  CD16  16 nM_Y	Cycle: 9  CD16  32 nM_X	Cycle: 9  CD16  32 nM_Y	Fitted Cycle: 9  CD16  32 nM_X	Fitted Cycle: 9  CD16  32 nM_Y	Cycle: 10  CD16  8 nM_X	Cycle: 10  CD16  8 nM_Y	Fitted Cycle: 10  CD16  8 nM_X	Fitted Cycle: 10  CD16  8 nM_Y
-57.56	-0.121582	-57.56	0	-57.56	-0.0535888	-57.56	0	-57.56	-0.0792236	-57.56	0	-57.56	-0.127319	-57.56	0	-57.56	-0.119629	-57.56	0	-57.56	-0.0690917	-57.56	0
-57.46	-0.131348	-57.46	0	-57.46	-0.0465088	-57.46	0	-57.46	-0.0792236	-57.46	0	-57.46	-0.133179	-57.46	0	-57.46	-0.119629	-57.46	0	-57.46	-0.0788574	-57.46	0
-57.36	-0.13265	-57.36	0	-57.36	-0.0478109	-57.36	0	-57.36	-0.0805257	-57.36	0	-57.36	-0.128621	-57.36	0	-57.36	-0.12679	-57.36	0	-57.36	-0.0762533	-57.36	0
-57.26	-0.128743	-57.26	0	-57.26	-0.0478109	-57.26	0	-57.26	-0.0902914	-57.26	0	-57.26	-0.128621	-57.26	0	-57.26	-0.120931	-57.26	0	-57.26	-0.0801595	-57.26	0
-57.16	-0.121582	-57.16	0	-57.16	-0.0465088	-57.16	0	-57.16	-0.0792236	-57.16	0	-57.16	-0.137085	-57.16	0	-57.16	-0.119629	-57.16	0	-57.16	-0.0788574	-57.16	0
-57.06	-0.12443	-57.06	0	-57.06	-0.049357	-57.06	0	-57.06	-0.0918375	-57.06	0	-57.06	-0.143839	-57.06	0	-57.06	-0.122477	-57.06	0	-57.06	-0.0817057	-57.06	0
-56.96	-0.136963	-56.96	0	-56.96	-0.0579834	-56.96	0	-56.96	-0.0906982	-56.96	0	-56.96	-0.152466	-56.96	0	-56.96	-0.13501	-56.96	0	-56.96	-0.0844727	-56.96	0
-56.86	-0.133301	-56.86	0	-56.86	-0.0484621	-56.86	0	-56.86	-0.0811769	-56.86	0	-56.86	-0.148804	-56.86	0	-56.86	-0.127442	-56.86	0	-56.86	-0.0905764	-56.86	0
-56.76	-0.128092	-56.76	0	-56.76	-0.0432536	-56.76	0	-56.76	-0.0759684	-56.76	0	-56.76	-0.143595	-56.76	0	-56.76	-0.116374	-56.76	0	-56.76	-0.0814616	-56.76	0
-56.66	-0.128092	-56.66	0	-56.66	-0.0432536	-56.66	0	-56.66	-0.0759684	-56.66	0	-56.66	-0.143595	-56.66	0	-56.66	-0.116374	-56.66	0	-56.66	-0.0756022	-56.66	0
-56.56	-0.124837	-56.56	0	-56.56	-0.0497641	-56.56	0	-56.56	-0.0727133	-56.56	0	-56.56	-0.150106	-56.56	0	-56.56	-0.113119	-56.56	0	-56.56	-0.0821128	-56.56	0
-56.46	-0.129395	-56.46	0	-56.46	-0.0543213	-56.46	0	-56.46	-0.0772705	-56.46	0	-56.46	-0.154663	-56.46	0	-56.46	-0.117676	-56.46	0	-56.46	-0.0769043	-56.46	0
-56.36	-0.128092	-56.36	0	-56.36	-0.0491129	-56.36	0	-56.36	-0.0759684	-56.36	0	-56.36	-0.153361	-56.36	0	-56.36	-0.116374	-56.36	0	-56.36	-0.0853678	-56.36	0
-56.26	-0.128092	-56.26	0	-56.26	-0.0432536	-56.26	0	-56.26	-0.0857341	-56.26	0	-56.26	-0.153361	-56.26	0	-56.26	-0.116374	-56.26	0	-56.26	-0.0853679	-56.26	0
-56.16	-0.126139	-56.16	0	-56.16	-0.0413005	-56.16	0	-56.16	-0.0837809	-56.16	0	-56.16	-0.151408	-56.16	0	-56.16	-0.124186	-56.16	0	-56.16	-0.0834147	-56.16	0
-56.06	-0.12679	-56.06	0	-56.06	-0.0419515	-56.06	0	-56.06	-0.084432	-56.06	0	-56.06	-0.161825	-56.06	0	-56.06	-0.115072	-56.06	0	-56.06	-0.0840658	-56.06	0
-55.96	-0.123535	-55.96	0	-55.96	-0.0484619	-55.96	0	-55.96	-0.0811768	-55.96	0	-55.96	-0.162476	-55.96	0	-55.96	-0.121582	-55.96	0	-55.96	-0.0866699	-55.96	0
-55.86	-0.128092	-55.86	0	-55.86	-0.0432536	-55.86	0	-55.86	-0.0759684	-55.86	0	-55.86	-0.163127	-55.86	0	-55.86	-0.116374	-55.86	0	-55.86	-0.0756022	-55.86	0
-55.76	-0.124837	-55.76	0	-55.76	-0.0399984	-55.76	0	-55.76	-0.0727132	-55.76	0	-55.76	-0.159871	-55.76	0	-55.76	-0.113118	-55.76	0	-55.76	-0.072347	-55.76	0
-55.66	-0.123128	-55.66	0	-55.66	-0.0382895	-55.66	0	-55.66	-0.0710043	-55.66	0	-55.66	-0.158163	-55.66	0	-55.66	-0.107503	-55.66	0	-55.66	-0.0706381	-55.66	0
-55.56	-0.122233	-55.56	0	-55.56	-0.0373942	-55.56	0	-55.56	-0.0701091	-55.56	0	-55.56	-0.157267	-55.56	0	-55.56	-0.100749	-55.56	0	-55.56	-0.0814616	-55.56	0
-55.46	-0.123535	-55.46	0	-55.46	-0.050415	-55.46	0	-55.46	-0.0811768	-55.46	0	-55.46	-0.158569	-55.46	0	-55.46	-0.102051	-55.46	0	-55.46	-0.0827637	-55.46	0
-55.36	-0.122233	-55.36	0	-55.36	-0.049113	-55.36	0	-55.36	-0.0798747	-55.36	0	-55.36	-0.161174	-55.36	0	-55.36	-0.100749	-55.36	0	-55.36	-0.0814616	-55.36	0
-55.26	-0.117432	-55.26	0	-55.26	-0.0443117	-55.26	0	-55.26	-0.0750734	-55.26	0	-55.26	-0.162232	-55.26	0	-55.26	-0.0959474	-55.26	0	-55.26	-0.0766603	-55.26	0
-55.16	-0.111165	-55.16	0	-55.16	-0.0419516	-55.16	0	-55.16	-0.0727133	-55.16	0	-55.16	-0.159872	-55.16	0	-55.16	-0.0935873	-55.16	0	-55.16	-0.0743002	-55.16	0
-55.06	-0.105306	-55.06	0	-55.06	-0.0517171	-55.06	0	-55.06	-0.0727132	-55.06	0	-55.06	-0.159871	-55.06	0	-55.06	-0.103353	-55.06	0	-55.06	-0.0696615	-55.06	0
-54.96	-0.1014	-54.96	0	-54.96	-0.0478109	-54.96	0	-54.96	-0.068807	-54.96	0	-54.96	-0.155965	-54.96	0	-54.96	-0.0994466	-54.96	0	-54.96	-0.0586751	-54.96	0
-54.86	-0.111165	-54.86	0	-54.86	-0.0478109	-54.86	0	-54.86	-0.068807	-54.86	0	-54.86	-0.155965	-54.86	0	-54.86	-0.0994466	-54.86	0	-54.86	-0.0730794	-54.86	0
-54.76	-0.111165	-54.76	0	-54.76	-0.0478109	-54.76	0	-54.76	-0.068807	-54.76	0	-54.76	-0.155965	-54.76	0	-54.76	-0.0994466	-54.76	0	-54.76	-0.0801595	-54.76	0
-54.66	-0.104655	-54.66	0	-54.66	-0.0413007	-54.66	0	-54.66	-0.0720624	-54.66	0	-54.66	-0.149455	-54.66	0	-54.66	-0.0929365	-54.66	0	-54.66	-0.0690107	-54.66	0
-54.56	-0.1014	-54.56	0	-54.56	-0.0478109	-54.56	0	-54.56	-0.068807	-54.56	0	-54.56	-0.1462	-54.56	0	-54.56	-0.089681	-54.56	0	-54.56	-0.0586751	-54.56	0
-54.46	-0.111165	-54.46	0	-54.46	-0.0478109	-54.46	0	-54.46	-0.068807	-54.46	0	-54.46	-0.1462	-54.46	0	-54.46	-0.089681	-54.46	0	-54.46	-0.0586751	-54.46	0
-54.36	-0.112467	-54.36	0	-54.36	-0.0452067	-54.36	0	-54.36	-0.0701091	-54.36	0	-54.36	-0.151408	-54.36	0	-54.36	-0.102702	-54.36	0	-54.36	-0.0599772	-54.36	0
-54.26	-0.114421	-54.26	0	-54.26	-0.0413005	-54.26	0	-54.26	-0.0720622	-54.26	0	-54.26	-0.15922	-54.26	0	-54.26	-0.104655	-54.26	0	-54.26	-0.071696	-54.26	0
-54.16	-0.111165	-54.16	0	-54.16	-0.0380453	-54.16	0	-54.16	-0.068807	-54.16	0	-54.16	-0.155965	-54.16	0	-54.16	-0.1014	-54.16	0	-54.16	-0.0684408	-54.16	0
-54.06	-0.109456	-54.06	0	-54.06	-0.0363363	-54.06	0	-54.06	-0.067098	-54.06	0	-54.06	-0.154256	-54.06	0	-54.06	-0.109456	-54.06	0	-54.06	-0.0667318	-54.06	0
-53.96	-0.111816	-53.96	0	-53.96	-0.0484619	-53.96	0	-53.96	-0.0765381	-53.96	0	-53.96	-0.166382	-53.96	0	-53.96	-0.111816	-53.96	0	-53.96	-0.0690918	-53.96	0
-53.86	-0.108561	-53.86	0	-53.86	-0.0452067	-53.86	0	-53.86	-0.0708415	-53.86	0	-53.86	-0.163127	-53.86	0	-53.86	-0.103923	-53.86	0	-53.86	-0.0619304	-53.86	0
-53.76	-0.103353	-53.76	0	-53.76	-0.0399985	-53.76	0	-53.76	-0.0824789	-53.76	0	-53.76	-0.167684	-53.76	0	-53.76	-0.0916342	-53.76	0	-53.76	-0.0606284	-53.76	0
-53.66	-0.115072	-53.66	0	-53.66	-0.0419514	-53.66	0	-53.66	-0.0797932	-53.66	0	-53.66	-0.179403	-53.66	0	-53.66	-0.0935872	-53.66	0	-53.66	-0.0625813	-53.66	0
-53.56	-0.115072	-53.56	0	-53.56	-0.0419515	-53.56	0	-53.56	-0.0727132	-53.56	0	-53.56	-0.175496	-53.56	0	-53.56	-0.103353	-53.56	0	-53.56	-0.072347	-53.56	0
-53.46	-0.11377	-53.46	0	-53.46	-0.0445557	-53.46	0	-53.46	-0.0753174	-53.46	0	-53.46	-0.172241	-53.46	0	-53.46	-0.105957	-53.46	0	-53.46	-0.0749512	-53.46	0
-53.36	-0.109212	-53.36	0	-53.36	-0.0458578	-53.36	0	-53.36	-0.0766195	-53.36	0	-53.36	-0.185262	-53.36	0	-53.36	-0.103353	-53.36	0	-53.36	-0.072347	-53.36	0
-53.26	-0.110515	-53.26	0	-53.26	-0.04716	-53.26	0	-53.26	-0.0642499	-53.26	0	-53.26	-0.176799	-53.26	0	-53.26	-0.0929364	-53.26	0	-53.26	-0.0580243	-53.26	0
-53.16	-0.111816	-53.16	0	-53.16	-0.0484619	-53.16	0	-53.16	-0.0733642	-53.16	0	-53.16	-0.178101	-53.16	0	-53.16	-0.109863	-53.16	0	-53.16	-0.0593261	-53.16	0
-53.06	-0.106608	-53.06	0	-53.06	-0.049113	-53.06	0	-53.06	-0.0740153	-53.06	0	-53.06	-0.178752	-53.06	0	-53.06	-0.104655	-53.06	0	-53.06	-0.0541179	-53.06	0
-52.96	-0.105306	-52.96	0	-52.96	-0.0517171	-52.96	0	-52.96	-0.0746664	-52.96	0	-52.96	-0.17159	-52.96	0	-52.96	-0.0994466	-52.96	0	-52.96	-0.0586751	-52.96	0
-52.86	-0.102051	-52.86	0	-52.86	-0.0543213	-52.86	0	-52.86	-0.0596924	-52.86	0	-52.86	-0.178101	-52.86	0	-52.86	-0.100098	-52.86	0	-52.86	-0.0593262	-52.86	0
-52.76	-0.0961916	-52.76	0	-52.76	-0.0640871	-52.76	0	-52.76	-0.0635988	-52.76	0	-52.76	-0.172241	-52.76	0	-52.76	-0.0981447	-52.76	0	-52.76	-0.053467	-52.76	0
-52.66	-0.104655	-52.66	0	-52.66	-0.0569254	-52.66	0	-52.66	-0.0622965	-52.66	0	-52.66	-0.174845	-52.66	0	-52.66	-0.0968424	-52.66	0	-52.66	-0.0560709	-52.66	0
-52.56	-0.115072	-52.56	0	-52.56	-0.0575765	-52.56	0	-52.56	-0.0609945	-52.56	0	-52.56	-0.165731	-52.56	0	-52.56	-0.1014	-52.56	0	-52.56	-0.0586751	-52.56	0
-52.46	-0.127035	-52.46	0	-52.46	-0.0597738	-52.46	0	-52.46	-0.0690511	-52.46	0	-52.46	-0.167928	-52.46	0	-52.46	-0.0996908	-52.46	0	-52.46	-0.0608724	-52.46	0
-52.36	-0.130046	-52.36	0	-52.36	-0.0620524	-52.36	0	-52.36	-0.0779216	-52.36	0	-52.36	-0.16508	-52.36	0	-52.36	-0.0929362	-52.36	0	-52.36	-0.0638835	-52.36	0
-52.26	-0.13916	-52.26	0	-52.26	-0.0679931	-52.26	0	-52.26	-0.0772704	-52.26	0	-52.26	-0.178101	-52.26	0	-52.26	-0.0961913	-52.26	0	-52.26	-0.0612792	-52.26	0
-52.16	-0.130697	-52.16	0	-52.16	-0.0692954	-52.16	0	-52.16	-0.0805258	-52.16	0	-52.16	-0.173543	-52.16	0	-52.16	-0.0916342	-52.16	0	-52.16	-0.0664878	-52.16	0
-52.06	-0.113037	-52.06	0	-52.06	-0.0621338	-52.06	0	-52.06	-0.0948486	-52.06	0	-52.06	-0.182007	-52.06	0	-52.06	-0.0805664	-52.06	0	-52.06	-0.0651855	-52.06	0
-51.96	-0.115072	-51.96	0	-51.96	-0.0614828	-51.96	0	-51.96	-0.0941976	-51.96	0	-51.96	-0.181356	-51.96	0	-51.96	-0.0799154	-51.96	0	-51.96	-0.0645345	-51.96	0
-51.86	-0.111165	-51.86	0	-51.86	-0.0712484	-51.86	0	-51.86	-0.0902914	-51.86	0	-51.86	-0.181356	-51.86	0	-51.86	-0.074056	-51.86	0	-51.86	-0.0645345	-51.86	0
-51.76	-0.10791	-51.76	0	-51.76	-0.064087	-51.76	0	-51.76	-0.0811768	-51.76	0	-51.76	-0.191773	-51.76	0	-51.76	-0.0786134	-51.76	0	-51.76	-0.071045	-51.76	0
-51.66	-0.106608	-51.66	0	-51.66	-0.0530192	-51.66	0	-51.66	-0.0857341	-51.66	0	-51.66	-0.192424	-51.66	0	-51.66	-0.0675456	-51.66	0	-51.66	-0.0658366	-51.66	0
-51.56	-0.107259	-51.56	0	-51.56	-0.0595296	-51.56	0	-51.56	-0.0824789	-51.56	0	-51.56	-0.20284	-51.56	0	-51.56	-0.074056	-51.56	0	-51.56	-0.0684408	-51.56	0
-51.46	-0.1014	-51.46	0	-51.46	-0.0556234	-51.46	0	-51.46	-0.0922445	-51.46	0	-51.46	-0.2087	-51.46	0	-51.46	-0.074056	-51.46	0	-51.46	-0.0625814	-51.46	0
-51.36	-0.0965983	-51.36	0	-51.36	-0.0449626	-51.36	0	-51.36	-0.0874431	-51.36	0	-51.36	-0.203898	-51.36	0	-51.36	-0.0743815	-51.36	0	-51.36	-0.0675456	-51.36	0
-51.26	-0.0851238	-51.26	0	-51.26	-0.0549724	-51.26	0	-51.26	-0.0896404	-51.26	0	-51.26	-0.202189	-51.26	0	-51.26	-0.0655926	-51.26	0	-51.26	-0.0658367	-51.26	0
-51.16	-0.0830892	-51.16	0	-51.16	-0.0536703	-51.16	0	-51.16	-0.0941976	-51.16	0	-51.16	-0.200887	-51.16	0	-51.16	-0.0642904	-51.16	0	-51.16	-0.0645345	-51.16	0
-51.06	-0.08903	-51.06	0	-51.06	-0.0666911	-51.06	0	-51.06	-0.0974528	-51.06	0	-51.06	-0.204142	-51.06	0	-51.06	-0.0636393	-51.06	0	-51.06	-0.0775554	-51.06	0
